Index,x,y,z,type,color,size,opacity
830,712.81134,34.31122,404.58624,stars,#61FE1A,0.04167518331105301,0.04167518331105301
835,2371.978,114.9104,171.6036,stars,#4FD97C,0.042821862030084326,0.042821862030084326
839,785.52734,38.26626,922.3447,stars,#1688A6,0.0898926512366605,0.0898926512366605
845,2438.4573,120.24024,-1389.2041,stars,#9A4433,0.05697391579313293,0.05697391579313293
846,2034.5502,100.37393,-1731.9703,stars,#FAB65D,0.020378399628089225,0.020378399628089225
856,323.7807,16.27978,-381.31653,stars,#40A05F,0.014804789681527816,0.014804789681527816
857,4010.2236,201.68732,-78.73465,stars,#767D00,0.08653120884945656,0.08653120884945656
862,2149.5261,108.64269,-1134.7505,stars,#CA5F1B,0.051509564756924364,0.051509564756924364
863,1288.4777,65.19724,-69.37448,stars,#193EB0,0.027101937138300836,0.027101937138300836
866,1583.0101,80.15008,1056.3015,stars,#8BB8FF,0.08669284694120255,0.08669284694120255
881,173.7747,8.90451,-122.44148,stars,#BF1D6D,0.061482595719437864,0.061482595719437864
885,569.80804,29.37234,-180.53049,stars,#9B3080,0.0967157094314318,0.0967157094314318
895,846.0548,44.05454,-3270.4263,stars,#28D239,0.06557388429228414,0.06557388429228414
896,880.05554,45.8687,-798.2884,stars,#036A6A,0.04427535124772576,0.04427535124772576
908,2795.473,147.74678,-378.59027,stars,#C9CDEA,0.023967353651302488,0.023967353651302488
910,710.13477,37.63545,965.3975,stars,#C3736D,0.0558437124721768,0.0558437124721768
914,954.05035,50.90147,-503.3997,stars,#F619F9,0.03840568735722635,0.03840568735722635
921,5250.153,283.63583,-805.4758,stars,#7D3D4E,0.028304887225001116,0.028304887225001116
923,1744.075,94.7587,1806.155,stars,#1E4540,0.013717260360288419,0.013717260360288419
930,1127.8206,61.73567,-1463.1813,stars,#43C230,0.013461880362007416,0.013461880362007416
934,259.1932,14.21723,103.37108,stars,#36B772,0.04668966087053687,0.04668966087053687
946,1992.5004,110.28411,-42.74843,stars,#505BF8,0.04589501508878488,0.04589501508878488
948,1045.1707,57.93506,376.26816,stars,#000DF7,0.0318462529152102,0.0318462529152102
952,2050.5925,114.31999,1249.1904,stars,#84C09C,0.07532435439034564,0.07532435439034564
953,3267.4922,182.31242,1675.3198,stars,#C35B3D,0.08400866872722322,0.08400866872722322
956,929.4565,52.07539,-579.38873,stars,#2DBFE6,0.023046740960914643,0.023046740960914643
958,4389.1675,246.11131,3396.8855,stars,#6DCE28,0.06573966528946941,0.06573966528946941
959,107.08246,6.00442,-171.05583,stars,#5264C5,0.04784693063524073,0.04784693063524073
963,2635.4883,149.05356,1890.3412,stars,#1A73C7,0.05540771679183759,0.05540771679183759
971,1875.1558,107.01493,-776.83356,stars,#94A0BA,0.06361146392084945,0.06361146392084945
973,1591.5911,90.87406,1128.3916,stars,#ED135C,0.057490178225036284,0.057490178225036284
984,2808.0903,161.9392,1102.6061,stars,#E2FD5E,0.06287270164385757,0.06287270164385757
985,9378.922,540.8824,-861.92,stars,#149320,0.03854896968151906,0.03854896968151906
989,1882.0897,108.76872,-1463.5402,stars,#7B5BC1,0.022323774419652172,0.022323774419652172
992,1992.853,115.41147,-987.6779,stars,#47719E,0.060270970618025714,0.060270970618025714
993,2394.2334,138.97829,850.2704,stars,#070215,0.0929521828550184,0.0929521828550184
995,835.75073,48.57441,-314.9801,stars,#162D9A,0.029324362662686773,0.029324362662686773
996,932.14636,54.24797,146.7159,stars,#A1AE69,0.05615220488429408,0.05615220488429408
1000,1526.6097,89.38252,3373.262,stars,#437985,0.09968298800144174,0.09968298800144174
1004,2139.172,125.86315,-3697.423,stars,#DAD446,0.050367074199027584,0.050367074199027584
1005,225.21034,13.26619,-168.94724,stars,#5D5F9F,0.05015058764846189,0.05015058764846189
1006,822.0485,48.50571,-1844.7491,stars,#A9FE8C,0.048939437050652686,0.048939437050652686
1010,4877.422,289.06155,-2772.882,stars,#E24D58,0.08547335641465122,0.08547335641465122
1015,1574.6954,93.85958,1468.4305,stars,#E1D1BD,0.061362727410152515,0.061362727410152515
1016,824.4923,49.18188,-444.7459,stars,#120F4A,0.06461513231019272,0.06461513231019272
1017,2109.8816,126.04073,243.82394,stars,#EBA48F,0.020745282409882188,0.020745282409882188
1018,3559.5889,213.10081,-1740.9578,stars,#0B7BA5,0.011777861802728502,0.011777861802728502
1024,1437.8966,86.42357,-617.83545,stars,#7008F7,0.09650164638525045,0.09650164638525045
1028,2513.5986,151.45879,60.82062,stars,#E7AFB6,0.06302864265775131,0.06302864265775131
1030,6417.342,387.52527,2078.7761,stars,#C16A75,0.0971354415750069,0.0971354415750069
1031,888.2436,53.70452,-1162.6749,stars,#EB55F3,0.04729582244291316,0.04729582244291316
1033,369.82614,22.43279,-570.52203,stars,#FFD1C9,0.0994729065236746,0.0994729065236746
1036,1934.4421,117.77814,3356.6643,stars,#2F177E,0.013319261998575287,0.013319261998575287
1047,416.48004,25.60918,-83.46587,stars,#2041A7,0.06630181577737575,0.06630181577737575
1050,1700.8563,104.85145,3039.173,stars,#337A5B,0.09138460461632325,0.09138460461632325
1064,1812.0519,113.58333,-3528.5417,stars,#81F6A6,0.06847246548513287,0.06847246548513287
1065,516.37897,32.36717,-200.65172,stars,#BF2299,0.04163481422806853,0.04163481422806853
1069,839.97064,52.74691,3381.1462,stars,#FC1034,0.050601518372090676,0.050601518372090676
1073,1928.4314,121.56503,-1645.6545,stars,#A58CB4,0.036399478631205774,0.036399478631205774
1076,1765.7538,111.55955,-241.74803,stars,#B4B808,0.03970616615204142,0.03970616615204142
1081,1502.6217,95.60515,1310.357,stars,#8FD4E3,0.010672692405329249,0.010672692405329249
1083,5034.3687,321.02505,6899.5244,stars,#991510,0.02289244836960977,0.02289244836960977
1086,1294.8815,82.83,-445.0748,stars,#029254,0.04224077705931645,0.04224077705931645
1095,3759.5093,241.6646,7921.77,stars,#67E7D3,0.034974615122167735,0.034974615122167735
1100,860.0162,55.62791,-217.71542,stars,#756A84,0.05748457194766905,0.05748457194766905
1101,2960.8142,191.72455,-2285.657,stars,#65175A,0.011153885255741812,0.011153885255741812
1103,1219.0785,79.01099,538.6386,stars,#F79879,0.07802490374942446,0.07802490374942446
1105,1021.57904,66.46733,-643.5051,stars,#26EA2E,0.0625524779147731,0.0625524779147731
1107,2029.5039,132.39264,-107.56361,stars,#0E0E68,0.0709776558801731,0.0709776558801731
1111,766.76685,50.19156,119.2437,stars,#E6FEEE,0.057028866156313966,0.057028866156313966
1114,1424.844,93.38966,139.71187,stars,#93325D,0.028099452468500506,0.028099452468500506
1115,1609.761,105.63677,3642.839,stars,#DFF744,0.05750483757675941,0.05750483757675941
1119,164.43987,10.8336,-419.00528,stars,#28DA2B,0.0721192989424404,0.0721192989424404
1123,3072.7466,203.18694,-1707.4203,stars,#3BE4E2,0.04513941608220748,0.04513941608220748
