IngestionId,Size,Cycle,molecule_count,x,y,z,cumulative_count,distance_rank_per_size,scaled,R,G,B
292057776155,15,39,3,65.34805,-38.139442,-43.612995,117,6,1.9207246,0.7019608,0.0,0.29803923
412316860420,15,0,18,66.018,-38.405,-38.803,18,4,1.2967906,0.8,0.0,0.2
412316860420,15,1,10,66.018,-38.405,-38.803,28,4,1.4440682,0.8,0.0,0.2
412316860420,15,2,4,66.018,-38.405,-38.803,32,4,1.4885787,0.8,0.0,0.2
412316860420,15,3,17,66.018,-38.405,-38.803,49,4,1.6306068,0.8,0.0,0.2
412316860420,15,4,13,66.018,-38.405,-38.803,62,4,1.7090448,0.8,0.0,0.2
412316860420,15,5,7,66.018,-38.405,-38.803,69,4,1.7447022,0.8,0.0,0.2
412316860420,15,6,5,66.018,-38.405,-38.803,74,4,1.7680217,0.8,0.0,0.2
412316860420,15,7,1,66.018,-38.405,-38.803,75,4,1.772496,0.8,0.0,0.2
412316860420,15,8,1,66.018,-38.405,-38.803,76,4,1.7769111,0.8,0.0,0.2
412316860420,15,9,1,66.018,-38.405,-38.803,77,4,1.7812685,0.8,0.0,0.2
412316860420,15,11,1,66.018,-38.405,-38.803,78,4,1.7855697,0.8,0.0,0.2
412316860420,15,12,3,66.018,-38.405,-38.803,81,4,1.7981497,0.8,0.0,0.2
412316860420,15,14,1,66.018,-38.405,-38.803,82,4,1.8022398,0.8,0.0,0.2
412316860420,15,19,1,66.018,-38.405,-38.803,83,4,1.8062803,0.8,0.0,0.2
412316860420,15,20,1,66.018,-38.405,-38.803,84,4,1.8102722,0.8,0.0,0.2
412316860420,15,22,2,66.018,-38.405,-38.803,86,4,1.8181157,0.8,0.0,0.2
412316860420,15,23,2,66.018,-38.405,-38.803,88,4,1.825779,0.8,0.0,0.2
412316860420,15,24,5,66.018,-38.405,-38.803,93,4,1.8441998,0.8,0.0,0.2
412316860420,15,25,1,66.018,-38.405,-38.803,94,4,1.847765,0.8,0.0,0.2
